Pladra zamknięta
Pladra otwarta
Wtrącenie ceramiczne
Wtrącenie ceramiczne z pladerkami
Wtrącenie ceramiczne 5mm
Wtrącenie ceramiczne 10mm
Smuga capierzasta
Nić z pladrą na poczatku
Nić z pladrą w środku
